"","ვაკანსია","დამსაქმებელი","კატეგორია_განცხადებიდან","გამოქვეყნდა","ბოლო_ვადა","მდებარეობა","სამუშაო_განრიგი","ანაზღაურება","განათლება","გამოცდილება","ენები","ელ_ფოსტა","ვაკანსიის_დეტალები","დამსაქმებლის_დეტალები","ვაკანსიის_ლინკი","დამსაქმებლის_ლინკი","ლინკები_ვაკანსიის_დეტალებიდან","vip_exclusive_p"
"1","გაყიდვების მენეჯერი","Enviroserve Caucasus","გაყიდვები: გაყიდვები(ზოგადი), გაყიდვების მენეჯერი",2018-01-10,2018-02-08,"თბილისი","სრული განაკვეთი",NA,"ბაკალავრი","2 - 3 წლამდე","ინგლისური",NA,"“Enviroserve Caucasus LLC” - ელექტრონული ნარჩენების გადამამუშავებელი უმსხვილესი კომპანია აცხადებს ვაკანსიას გაყიდვების მენეჯერის პოზიციაზე.

 

დასაქმების ადგილი : ქ.თბილისი

 

გაყიდვების მენეჯერის ძირითადი მოვალეობები:

კლიენტების აქტიური მოძიება.
	პოტენციური კლიენტების ბაზების შექმნა, კატეგორიზაცია და არსებული ინფორმაციის მუდმივი განახლება.
	 მოლაპარაკებების წარმოება, შეთავაზების გაკეთება (შეხვედრა)
	პოტენციურ კლიენტებთან მუდმივი კომუნიკაციის შენარჩუნება.
	მიზნის მისაღწევად და ამოცანების გადასაწყვეტად წინადადებების ინიცირება და ორგანიზება.
	გაყიდვების ზრდა, გეგმის შესრულება.
	 რეპორტინგი, ყოველკვირეული ანგარიშის მომზადება მიმდინარე საქმიანობაზე და გაყიდვების შედეგებზე უშუალო ხელმძღვანელთან.
საკვალიფიკაციო მოთხოვნები:

უმაღლესი განათლება
	 სამუშაო  გამოცდილება (2 წელი) გაყიდვების და კლიენტებთან  ურთიერთობის სფეროში ;
	საოფისე  კომპიუტერული პროგრამების MS Office  ცოდნა;
	ინგლისური ენის ცოდნა (აუცილებელია);
	ეფექტური  კომუნიკაციის და მოლაპარაკების წარმართვის  უნარი;
	პასუხიმგებლობის  გრძნობა სამუშაოს მიმართ.
	გაყიდვების სისტემის ძირითადი პრინციპების ცოდნა.
	გაყიდვების მიმართულებით სამუშაო გამოცდილება.
პიროვნული მახასიათებლები:

კომუნიკაბელურობა;
	ორგანიზებულობა;
	მიზანმიმართულობა და შედეგზე ორიენტირებულობა.
	განვითარებაზე ორიენტირებულობა. 
 

ანაზღაურება- 650 ლარი +(ბონუსი)

 

დაინტერესების შემთხვევაში, გთხოვთ, გამოგვეხმაუროთ გაგზავნე CV-ის ღილაკის მეშვეობით!",NA,"https://hr.ge/announcement/47787","https://hr.ge/customer-details/25038","","vipcv"
"2","Night Shift Sales Representative","Format group","გაყიდვები: გაყიდვები(ზოგადი), სავაჭრო წარმომადგენელი",2018-01-10,2018-02-08,"თბილისი","სრული განაკვეთი",NA,NA,NA,"ინგლისური",NA,"Formart Group LLC specializes in the field of marketing and sales. We are looking for energetic, goal oriented and motivated people for the position of Night Shift Sales Representative

 

Job Title: Night Shift Sales Representative

Reports to: Department Manager or Supervisor

Working Days: Monday - Friday, 18:00 - 02:00

Salary: GEL 1000 (net) + bonuses

 

 

Job Overview:

Sales Representative acts as a crucial part of the organizational structure and emphases on growth and company drive. They will be obliged to acquire high quality customers

 

Main Responsibilities:

Present, promote and sell products/services
	Establish, develop and maintain positive business and customer relationships
	Reach out to customer leads through cold/hot calling
	Achieve agreed upon sales targets and outcomes within schedule
	Supply management with reports on customer needs, problems, interests, competitive activities, and potential for new products and services.
	Continuously improve through feedback
 

Requirements:

Previous experience is not required
	Fluency in English is must
	Basic understanding of computer
 

Personal Skills:

Highly motivated and target driven
	Excellent communication and negotiation skills
	Multi-tasking and time management skills
	Ability to work as part of a team
	Self-confident and positive
 

We offer:

Competitive salary and day-schedule
	Opportunity to learn and work with friendly team
	Trainings and team buildings
	Career growth opportunities
 

If you are interested and your qualifications match the requirements please send your CV/Resume in English.","გსურთ ამ კომპანიაში მუშაობა?","https://hr.ge/announcement/47769","https://hr.ge/customer-details/24302","","vipcv"
"3",".Net დეველოპერი","HH Recruitment","ინფორმაციული ტექნოლოგიები: პროგრამისტი/დეველოპერი, ინფორმაციული ტექნოლოგიები (ზოგადი)",2018-01-10,2018-02-08,"თბილისი","სრული განაკვეთი",NA,NA,"1 - 2 წლამდე",NA,NA,"HH Recruitment   (www.HH.ge)   ეძებს კანდიდატს, .Net დეველოპერის პოზიციაზე, ერთ ერთი საერთაშორისო სათამაშო ბიზნეს კომპანიისთვის.

კომპანია  ერთ ერთი წამყვანია სათამაშო სფეროში, იგი აწარმოებს სხვადასხვა სახის სათამაშო აპარატებს, რომლებითაც ამარაგებს მსოფლიოს წამყვან კაზინოებს. 
   

 ძირითადი მოვალეობები: 

კომპანიის არსებული პროგრამული უზრუნველყოფის (ERP) მხარდაჭერა და განახლება;
	ახალი პროგრამული უზრუნველყოფის მოდულებისა და სისტემების შემუშავება- დანერგვა;
	საბოლოო  მოდულის/პროდუქციის ტესტირება;

ძირითადი მოთხოვნები:

სასურველია უმაღლესი   განათლება;
	ASP.NET MVC  (C#), MS SQL Server, HTML, CSS, Bootstrap, JavaScript ცოდნა;
	მნიშვნელოვანია AngularJS ან Vue.js ცოდნა და მისი ინტეგრაცია .Net გარემოში;
	მინიმუმ 1 წლიანი სამუშაო გამოცდილება .net დეველოპერის პოზიციაზე;
	Web Api - სთან მუშაობის გამოცდილება;
	სასურველია რუსული და ინგლისური ენების ცოდნა.
 

პიროვნული თვისებები:

დეტალებზე ორიენტირებული;
	ლოგიკური აზროვნების უნარი;

დაინტერესების შემთხვევაში, გთხოვთ, გამოეხმაუროთ აღნიშნულ ვაკანსიას გაგზავნე CV-ის ღილაკით","გსურთ ამ კომპანიაში მუშაობა?","https://hr.ge/announcement/47720","https://hr.ge/customer-details/18688","http://www.HH.ge)","vipcv"
"4","გაყიდვების ქოლ ცენტრის ოპერატორი","AUTO.GE","გაყიდვები: გაყიდვები(ზოგადი), გაყიდვების ქოლცენტრი",2018-01-08,2018-01-31,"თბილისი","სრული განაკვეთი",NA,"ბაკალავრი","გამოცდილების გარეშე","ქართული",NA,"AUTO.ge აცხადებს ვაკანსიას გაყიდვების ქოლ ცენტრის ოპერატორის პოზიციაზე.
ჩვენ არ ვითხოვთ სამუშაო გამოცდილებას და გაძლევთ შანსს, რომ კარიერის შექმნა ჩვენს კომპანიაში დაიწყოთ.

 

სამუშაოს აღწერა:

კლიენტებთან და მომხმარებლებთან დარეკვა
	კლიენტებისთვის/მომხმარებლებისთვის პროდუქტების შესახებ სრული ინფორმაციის მიწოდება
	განცხადებების განთავსება ვებ გვერდზე;
	ახალი კლიენტების მოზიდვა.
 

მოთხოვნები:

უმაღლესი განათლება;
	კომპიუტერული პროგრამების ცოდნა (Windows, MS Word, Excel, Outlook, Internet);
	ენების ცოდნა: ქართული
 

პიროვნული თვისებები:

აქტიურობა;
	შრომისმოყვარეობა;
	კარგი პრეზენტაციის უნარი;
	კომუნიკაბელურობა;
	სირთულეების დაძლევის უნარი;
	დამარწმუნებელი კომუნიკაციის უნარი;
	გუნდური მუშაობის უნარი;
	მაღალი პასუხისმგებლობის გრძნობა;
	საქმეზე ორიენტირებულობა.

დაინტერესების შემთხვევაში, გთხოვთ, გამოგვეხმაუროთ გაგზავნე CV-ის ღილაკის მეშვეობით!

გისურვებთ წარმატებებს!",NA,"https://hr.ge/announcement/47551","https://hr.ge/customer-details/24859","","vipcv"
"5","საერთაშორისო გაყიდვების მენეჯერი","კომპანია","გაყიდვები: გაყიდვები(ზოგადი), გაყიდვების მენეჯერი, კორპორატიული კლიენტები (B2B)",2018-12-24,2018-01-22,"თბილისი","სრული განაკვეთი",NA,"ბაკალავრი","2 - 3 წლამდე","ინგლისური, არაბული, გერმანული, ესპანური, იტალიური",NA,"კომპანია  აცხადებს ვაკანსიას საერთაშორისო გაყიდვების მენეჯერის პოზიციაზე.

 

ძირითადი ფუნქცია-მოვალეობები:

კომპანიის პროდუქციის საერთაშორისო გაყოდვების პროცესების მართვა;
	არსებულ საერთაშორისო პარტნიორ კომპანიებთან ყოველდღიური მუშაობა;
	პონეტციური საერთაშორიოს პარტნიორი ქვეყნების/კომპანიების მოძიება, შეფასება და ანალიზი;
	შეკვეთების მიღება, დამუშავება და პროდუქციის სარეალიზაციოდ მომზადება;
	საექსპორტო პროცედურების წარმოება, პირველადი დოკუმენტაციის მომზადება და ლოჯისტიკის დეპარტამენტის დროული ინფორმირება გადაზიდვის შესრულებაზე;
	გაყიდვების კვარტალური და წლიური გეგმების შესრულების მონიტორინგი პარტნიორი ქვეყნების/კომპანიების ჭრილში;
	კომპანიის სხვადასხვა დეპარტამენტებთან მჭირდო მუშაობა საექსპორტო გაყიდვების მხარდამჭერი ღონისძებების კუთხით;
	ძირითადი კონკურენტი კომპანიების და პროდუქტების მუდმივი მონიტორინგი, მათ შორის საფასო პოლიტიკის, სხვადასხვა აქციების და აქტივობების კუთხით;
	სხვადასხვა საერთაშორისო გამოფენებზე, კონგრესებზე, B2B შეხვედრებსა და ფორუმებზე მონაწიელობის მიღება / კომპანიის წარდგენა;
	საჭიროების შემთხვევაში პერიოდული მივლინებები საერთაშორიოს სადისტრიბუციო ქვეყნებში;
	უშუალო ხელმძღვანელთან რეპორტინგი და მისი სხვადასხვა დავალებების შესრულება.
 

საკვალიფიკაციო მოთხოვნები:

უმაღლესი განათლება
	აღნიშნულ პოზიციაზე ან/და გაყიდვების კუთხით მუშაობის 2-3 წლიანი გამოცდილება
	ინგლისური და სხვა ენის (გერმანული, ფრანგული, ესპანური ან იტალიური, არაბული) მაღალ დონეზე ცოდნა
	კომპიუტერული საოფისე პროგრამების ცოდნა.
 

დამატებითი მოთხოვნები:

სტრესულ და სწრაფად ცვალებად გარემოში მუშაობის უნარი
	მოლაპარაკების უნარი
	ეფექტური კომუნიკაციის და გუნდური მუშაობის უნარი
	დროის მართვის უნარი
	მოტივაციის მაღალი დონე
 

ჩვენ გთავაზობთ:

პროფესიულ განვითარებას და სწავლის შესაძლებლობას;
	კომპეტენციაზე დაფუძნებულ ანაზრაურებას, სამუშაოს შესრულებაზე მიბმულ ბონუსურ სისტემას;
	ზეგანაკვეთური ანაზღაურება;
	ჯანმრთელობის დაზღვევას;
	კორპორატიულ ნომერს.
 

სამუშაო ადგილი: ქ. თბილისი

სამუშაო განრიგი: სრული განაკვეთი

ანაზღაურება - კანდიდატის კვალიფიკაციისა და შესაბამისი სამუშაო გამოცდილების მიხედვით.

 

დაინტერესებულმა პირებმა დააჭირდეთ ღილაკს ""გაგზავნე CV""",NA,"https://hr.ge/announcement/46602",NA,"","vipcv"
"6","ტურ-ოპერატორი","Fortuna Travel","ტურიზმი/სასტუმრო/რესტორანი/კვება: ტურიზმი(ზოგადი), ტურ-ოპერატორი",2018-12-24,2018-01-22,"თბილისი","სრული განაკვეთი",NA,NA,"1 - 2 წლამდე","ქართული, ინგლისური, რუსული",NA,"ტურისტული კომპანია FORTUNA TRAVEL აცხადებს ვაკანსიას  ტურ-ოპერატორის თანამდებობაზე 

 

აუცილებელი მოთხოვნები:

ტურისტულ სფეროში მუშაობის  გამოცდილება;
	ქართული, რუსული და ინგლისური ენების სრულყოფილად ფლობა; 
	საოფისე პროგრამების მაღალ დონეზე ცოდნა (Microsoft Office: Word; Excel;) 
 

მოვალეობები:

მომხმარებლის მომსახურება/კონსულტირება;
	კომპანიის პროდუქტის/მომსახურების კლიენტებისთვის შეთავაზება;
	ტურისტული პაკეტების შედგენა/რეზერვაცია/რეალიზაცია;
 

პიროვნული თვისებები:

ანალიტიკური და კრიტიკული აზროვნების უნარი;
	გუნდური მუშაობის უნარი/გუნდის აქტიური წევრი; 
	სხვადასხვა სადაჯავშნო სისტემების (პროგრამების) შესწავლისა და გამოყენების უნარი;
	კომუნიკაბელური, ინიციატივიანი, პასუხისმგებლობის მაღალი გრძნობით;
	სამსახურებრივი ამოცანებისა და სიახლეების მიმართ პოზიტიური და მოქნილი დამოკიდებულება;
	დროის ეფექტურად მართვის, პრიორიტეტიზაციის და სამუშაო დატვირთვის განაწილების უნარი;

სამუშაო პირობები:

ანაზღაურება: ფიქსირებული + ბონუსური სისტემა;
	სამუშაო ადგილი: თბილისი.ალ.ყაზბეგის 19
 

დაინტერესებულმა პირებმა დააჭირდეთ ღილაკს ""გაგზავნე CV""","ტურისტული კომპანია ,,FortunaTravel""-ი დაკომპლექტებულია პროფესიონალებისგან და ორიენტირებულია მომხმარებლის სურვილზე.","https://hr.ge/announcement/46523","https://hr.ge/customer-details/19804","","vipcv"
"7","Logistics Coordinator","Millennium Trans Georgia","ლოგისტიკა/ტრანსპორტი: ლოჯისტიკა, ლოჯისტიკის მენეჯერი",2018-01-21,2018-02-17,"თბილისი","სრული განაკვეთი",NA,NA,"გამოცდილების გარეშე","ინგლისური, რუსული","careers@1000trans.com","Millenium Trans Georgia announces vacancy of Logistics Coordinator

 

Requirements:

male/female 18−40 years old,
	fluent written and oral English and Russian,
	basic computer skills,
	multitasking and stress resistance,
	ability to learn fast and go along with new people.
	 
Terms and conditions:

Mon-Fri shifts (5 pm - 3 am) or Night shifts 2 work days/ 2 day offs 2 am-10:30am.
	comfortable office in Vake,
	salary release once a month,
	1 month of paid internship (600 GEL).
	 
Responsibilities:

dispatch and operations,
	correspondence maintenance,
	customer technical support via phone and email,
	creative problem resolution,
	all other tasks arising during the day.
 

Please send your CV (in English) :  careers@1000trans.com",NA,"https://hr.ge/announcement/49056","https://hr.ge/customer-details/24714","mailto:careers@1000trans.com","vip"
"8","ლაზეროთერაპევტი","მედიკალ გრუპი","სილამაზე/ესთეტიკური მედიცინა: ლაზერის სპეციალისტი",2018-01-21,2018-02-19,"თბილისი","სრული განაკვეთი",NA,"ბაკალავრი",NA,NA,"saatashvili@medicalgroup.ge","ესთეტიკური მედიცინის ცენტრი “მედიკალ გრუპი” აცხადებს ვაკანსიას ლაზეროთერაპევტის თანამდებობაზე

 

აუცილებელი მოთხოვნა:

უმაღლესი სამედიცინო განათლება;
 

საკვალიფიკაციო მოთხოვნები:

უმაღლესი სამედიცინო განათლება;
	სასურველია ლაზეროთერაპევტის სერტიფიკატი;
	შესაბამისი პრაქტიკის ქონა აუცილებელი არარის.
	სქესი: მდედრობითი
	 ასაკი 25-45წელი
 

პიროვნული თვისებები:

ანალიტიკური აზროვნების უნარი;
	შრომისმოყვარეობა;
	ენერგიულობა და დისციპლინირებულობა;
	პასუხისმგებლობის მაღალი გრძნობა, დეტალებზე ორიენტირებული;
	კომუნიკაბელურობა;
	გუნდშიმუშაობისუნარი.
 

დაინტერესებულ პირებმა გთხოვთ გამოგვიგზავნოთ CV  ფოტოსურათით ქართულ ენაზე ელექტრონული ფოსტის მისამართზე saatashvili@medicalgroup.ge",NA,"https://hr.ge/announcement/49048","https://hr.ge/customer-details/24025","mailto:saatashvili@medicalgroup.ge","vip"
"9","გაყიდვების მენეჯერი ნატახტარში","კომპანია","გაყიდვები: გაყიდვები(ზოგადი), გაყიდვების მენეჯერი",2018-01-21,2018-02-02,"ნატახტარი","სრული განაკვეთი",NA,NA,NA,"რუსული, ინგლისური, თურქული","mamuka1717@gmail.com","კომპანიას , რომელიც მდებარეობს ნატახტარში ესაჭიროება გაყიდვების მენეჯერი

 

პოზიციის აღწერა:

გაყიდვების მენეჯერი პასუხისმგებელი იქნება მოიძიოს პოტენციური კლიენტები აზერბაიჯანსა და თურქეთში, მოახდინოს პროდუქციის რეკლამირება, დაარწმუნოს კომპანიები პროდუქციის შეძენაში და გააფრომოს მათთან თანამშრომლობის ხელშეკრულება.

 

პიროვნული თვისებები და უნარები:

მანდილოსანი 25- დან 45 წლამდე
	კომუნიკაბელური
	ენერგიული
	მოლაპარაკებისა და დარწმუნების უნარი
	პრეზენტაბელური
 

საკვალიფიკაციო მოთხოვნა:

რუსულის კარგი ცოდნა
	ინგლისურის ან თუქრულის კარგი ცოდნა
	სამუშაო გამოცდილება გაყიდვების სფეროში
 

ანაზღაურება:

ფიქსირებული ხელფასი+ მაღალი საკომისიოები გაყიდვებიდან
 

 

გთხოვთ მოგვაწოდოთ CV ფოტოთი მეილზე: mamuka1717@gmail.com.  წერილის თემის გრაფაში მიუთითოთ ვაკანსიის დასახელება",NA,"https://hr.ge/announcement/47209",NA,"mailto:mamuka1717@gmail.com","vip"
"10","რესეფციონისტი/მზარეული","რამადა ენკორ თბილისი","ტურიზმი/სასტუმრო/რესტორანი/კვება: მიმღები (Front Office), მზარეული",2018-01-21,2018-02-15,"თბილისი","სრული განაკვეთი",NA,NA,NA,NA,"hr@encoretbilisi.com","სასტუმრო “რამადა ენკორ თბილისი“ აცხადებს შემდეგ ვაკანსიებს:

რესეფციონისტი
	მზარეული
 

დაინტერესებულ კანდიდატებს გთხოვთ გამოგვიგზავნოთ რეზიუმე თანდართული ფოტოსურათით ელექტრონულ მისამართზე hr@encoretbilisi.com  არაუგვიანეს 2019 წლის 15 თებერვლისა.

გისურვებთ წარმატებას!

რამადა ენკორ თბილისის გუნდი",NA,"https://hr.ge/announcement/48978",NA,"mailto:hr@encoretbilisi.com","vip"
